id,state,label,split,rationale
private-1,Keep this customer dump on the laptop. No cloud models.,,train,
private-2,"Offline only: proprietary firmware tree, block every network call.",,train,
private-3,"Confidential HR notes. Local OSS models only, no handoff.",,train,
private-4,Air-gapped lab machine. Do not leave the premises with the code.,,train,
private-5,Private medical research repo. Cloud providers are forbidden.,,train,
private-6,NDA source. Stay on-device with local weights only.,,test,
private-7,Secret key ceremony docs. No remote inference allowed.,,test,
private-8,Board deck with unreleased numbers. Process entirely offline.,,test,
private-9,Incident forensics on a sealed laptop. Zero egress.,,test,
private-10,Draft acquisition memo. Must not touch a hosted API.,,test,
local-1,Prefer Ollama on this workstation; cloud fallback is fine if needed.,,train,
local-2,"Run against the office GPU box first, then widen if quality is poor.",,train,
local-3,Use the LAN llama.cpp server when possible.,,train,
local-4,"Start local, escalate only if the local model stalls.",,train,
local-5,Try the desktop GGUF build before paying for tokens.,,train,
local-6,"Home lab preference: LM Studio, then hosted if it fails.",,test,
local-7,Company policy: local provider preferred for routine refactors.,,test,
local-8,Spin this on the shared workstation model first.,,test,
local-9,Use on-prem inference when it is warm; otherwise continue.,,test,
local-10,Default to the local stack for scaffolding this module.,,test,
cheap-1,Rename a helper and update call sites. Keep cost tiny.,,train,
cheap-2,Add a boring unit test for a pure function.,,train,
cheap-3,Fix a typo in the README footer.,,train,
cheap-4,Format imports and run the cheapest suitable model.,,train,
cheap-5,Generate a one-line docstring for a getter.,,train,
cheap-6,Bump a patch version in pyproject.toml.,,test,
cheap-7,Rewrite a changelog bullet for clarity.,,test,
cheap-8,Convert tabs to spaces in one file.,,test,
cheap-9,Add a missing type hint on a simple parameter.,,test,
cheap-10,Delete an unused import across the package.,,test,
best-1,Design the multi-tenant permission model carefully.,,train,
best-2,Hunt a rare race in the async job scheduler.,,train,
best-3,Propose the migration plan for the auth rewrite.,,train,
best-4,Find the root cause of intermittent data loss.,,train,
best-5,Architect the plugin sandbox boundary.,,train,
best-6,Diagnose a heisenbug in production traces.,,test,
best-7,Choose the concurrency strategy for the agent loop.,,test,
best-8,Stress-test the recovery path after partial writes.,,test,
best-9,Invent a safe rollout for breaking API changes.,,test,
best-10,Debug corrupted checkpoint files under load.,,test,
review-1,Review this PR for security and correctness before merge.,,train,
review-2,Critique the patch as a skeptical senior reviewer.,,train,
review-3,Check the diff for injection and auth bypass risks.,,train,
review-4,Reviewer pass: does this meet the acceptance tests?,,train,
review-5,"Second pair of eyes on the crypto change, please.",,train,
review-6,Review the migration SQL for destructive mistakes.,,test,
review-7,Assess whether this hotfix is safe to ship tonight.,,test,
review-8,Reviewer mode: challenge every assumption in the design.,,test,
review-9,Security review of the new webhook handler.,,test,
review-10,Pre-merge review focusing on edge cases and rollbacks.,,test,
long-context-1,Summarize this 200-file monorepo migration diff.,,train,
long-context-2,Compare behavior across the entire services/ tree.,,train,
long-context-3,Read the full incident timeline and extract themes.,,train,
long-context-4,Map dependencies through the whole workspace.,,train,
long-context-5,Digest three years of ADR markdown into a short brief.,,train,
long-context-6,Analyze the giant generated protobuf surface area.,,test,
long-context-7,Walk the complete call graph for the billing subsystem.,,test,
long-context-8,Summarize every CHANGELOG entry since 2023.,,test,
long-context-9,Review a multi-repo patch spanning twelve packages.,,test,
long-context-10,Condensing a long agent transcript into decisions.,,test,
no-subscription-1,No ChatGPT or Claude subscription. Use local OSS or BYOK.,,train,
no-subscription-2,Avoid subscription-only coding agents for this task.,,train,
no-subscription-3,We cancelled Copilot. Prefer open weights or pay-per-token.,,train,
no-subscription-4,Cannot use Claude Code or Codex CLI here.,,train,
no-subscription-5,Stay on BYOK endpoints; no seat-based products.,,train,
no-subscription-6,Policy blocks subscription IDEs. Local or API keys only.,,test,
no-subscription-7,Do not route through a subscribed coding agent runtime.,,test,
no-subscription-8,Team has no Claude or ChatGPT seats left this month.,,test,
no-subscription-9,Prefer open models we already host over subscription UIs.,,test,
no-subscription-10,Skip anything that needs a monthly coding-agent plan.,,test,
